	id	created_at	text	lang	hashtags	isRelevant	isRelevant_text
0	1460759555378450433	2021-11-16T23:59:52.000Z	"b""RT @Bosslogic: Finally watched #shangChi I know I'm super late to the party, work is killing me \\U0001f62d loved the movie, the soundtrack was dope\\u2026"""	en	['shangChi']	True	True
1	1460759441960284161	2021-11-16T23:59:25.000Z	b'this and shangchi are my favorites now'	en	[]	True	True
2	1460759434108579842	2021-11-16T23:59:23.000Z	"b""RT @snowygallifrey: #SHANGCHI: i'm not leaving you again. https://t.co/w9tj06exTH"""	en	['SHANGCHI']	True	True
3	1460759358825021457	2021-11-16T23:59:05.000Z	"b""Feels like it's been forever since I watched a new MCU movie, #ShangChi did not disappoint! https://t.co/u2aRRiKeqZ"""	en	['ShangChi']	True	True
4	1460759353145782272	2021-11-16T23:59:04.000Z	b'RT @viyybee: #ShangChi : if you aim at nothing, you hit nothing https://t.co/psg7d6zoMR'	en	['ShangChi']	True	True
5	1460759320430141440	2021-11-16T23:58:56.000Z	b'RT @spdrsgwen: some mcu stuff! #eternals #sersi #shangchi #katychen https://t.co/y06AbRw7yf'	en	['eternals', 'sersi', 'shangchi', 'katychen']	True	True
6	1460758780195467264	2021-11-16T23:56:47.000Z	b'RT @LexieBadBitch2: #shangchi and #Eternals visuals are truly unmatched https://t.co/RPuYo1SIiz'	en	['shangchi', 'Eternals']	True	True
7	1460758538716778497	2021-11-16T23:55:49.000Z	b'I absolutely need need a Morris plush when it comes back in stock @SimuLiu @shangchi @MarvelStudios @Marvel https://t.co/zwFV4PtcvR'	en	[]	True	True
8	1460758225339310084	2021-11-16T23:54:35.000Z	b'RT @starktrbl: THE EMOTION AND COLOR CONTRAST?? #ShangChi https://t.co/s1BomxMAFP'	en	['ShangChi']	True	True
9	1460758029385805826	2021-11-16T23:53:48.000Z	b'RT @shangsfilm: no one\\u2019s doing it like him !\\n#shangchi https://t.co/0mSC5wRlxj'	en	['shangchi']	True	True
10	1460757995831259138	2021-11-16T23:53:40.000Z	b'RT @DeepakPrabhas9: #EeRaathale #ShangChi version\\n#RadheShyam https://t.co/Wz88MUam18'	en	['EeRaathale', 'ShangChi', 'RadheShyam']	True	True
11	1460757977061810180	2021-11-16T23:53:35.000Z	b'RT @MCUPerfectGifs: Shang-Chi vs. The Mandarin \\n#ShangChi https://t.co/BXkRh3WE8r'	en	['ShangChi']	True	True
12	1460757895130202114	2021-11-16T23:53:16.000Z	b'The DBZ scene in @shangchi was one of the highlights for me but hands down the moment he shares with his father, as he passes on the rings was pretty deep for me. \\n\\nI hope, when my time comes - I have all the best memories with my children flash before my eyes too.'	en	[]	True	True
