id	created_at	text	lang	hashtags
1461121933852950529	2021-11-17T23:59:50.000Z	b'RT @magiantigoart: ok mas z\\xe9 bon\\xe9 me escuta--\\n\\n#spiderman #shangchi https://t.co/neXU5Hg6SU'	pt	['spiderman', 'shangchi']
1461121802592264201	2021-11-17T23:59:18.000Z	b'RT @magiantigoart: ok mas z\\xe9 bon\\xe9 me escuta--\\n\\n#spiderman #shangchi https://t.co/neXU5Hg6SU'	pt	['spiderman', 'shangchi']
1461121710606864389	2021-11-17T23:58:56.000Z	b'RT @ottoshi: \\u0e2d\\u0e37\\u0e49\\u0e2d\\u0e2b\\u0e37\\u0e2d!!! \\u0e43\\u0e04\\u0e23\\u0e27\\u0e48\\u0e32\\u0e2b\\u0e19\\u0e31\\u0e07\\u0e44\\u0e21\\u0e48\\u0e2a\\u0e19\\u0e38\\u0e01 \\u0e2b\\u0e19\\u0e31\\u0e07\\u0e44\\u0e21\\u0e48\\u0e14\\u0e35 #\\u0e40\\u0e16\\u0e35\\u0e22\\u0e07\\u0e40\\u0e2d\\u0e47\\u0e19\\u0e1b\\u0e39\\u0e14  #ShangChi https://t.co/HIew5tF8IH'	th	['เถียงเอ็นปูด', 'ShangChi']
1461121580273045505	2021-11-17T23:58:25.000Z	b'RT @Mogamoka2: \\u0e09\\u0e32\\u0e01\\u0e17\\u0e35\\u0e48\\u0e2a\\u0e30\\u0e40\\u0e17\\u0e37\\u0e2d\\u0e19\\u0e43\\u0e08\\u0e21\\u0e32\\u0e01\\u0e43\\u0e19 #shangchi \\u0e04\\u0e37\\u0e2d\\u0e15\\u0e2d\\u0e19\\u0e42\\u0e19\\u0e4a\\u0e15\\u0e1a\\u0e38\\u0e4a\\u0e04\\u0e17\\u0e35\\u0e48\\u0e2a\\u0e32\\u0e27\\u0e04\\u0e19\\u0e19\\u0e31\\u0e49\\u0e19\\u0e43\\u0e0a\\u0e49\\u0e40\\u0e02\\u0e35\\u0e22\\u0e19\\u0e40\\u0e1b\\u0e40\\u0e1b\\u0e2d\\u0e23\\u0e4c\\u0e1a\\u0e19\\u0e23\\u0e16\\u0e40\\u0e21\\u0e25\\u0e4c\\u0e42\\u0e14\\u0e19\\u0e1c\\u0e48\\u0e32\\u0e04\\u0e23\\u0e36\\u0e48\\u0e07'	th	['shangchi']
1461121521099759625	2021-11-17T23:58:11.000Z	"b'RT @keoghanfilms: ""if my dad won\'t let me into his empire, i\'m gonna build my own.""\\n#XiaLing #ShangChi https://t.co/I3ofgOUuUs'"	en	['XiaLing', 'ShangChi']
1461121455714828289	2021-11-17T23:57:56.000Z	b'RT @MVDeepQuotes: \\u0e09\\u0e32\\u0e01\\u0e2a\\u0e30\\u0e40\\u0e17\\u0e37\\u0e2d\\u0e19\\u0e43\\u0e08\\u0e43\\u0e19 #Shangchi \\u0e40\\u0e14\\u0e47\\u0e01\\u0e1b\\u0e35 4 \\u0e41\\u0e25\\u0e30\\u0e1b\\u0e23\\u0e34\\u0e0d\\u0e0d\\u0e32\\u0e42\\u0e17\\u0e17\\u0e38\\u0e01\\u0e04\\u0e19\\u0e08\\u0e30\\u0e15\\u0e49\\u0e2d\\u0e07\\u0e01\\u0e23\\u0e35\\u0e14\\u0e23\\u0e49\\u0e2d\\u0e07 https://t.co/xZuqAHOe4T'	th	['Shangchi']
1461121406972923910	2021-11-17T23:57:44.000Z	b'@vitinliberation @TheEternals @shangchi Ah pode esperar no m\\xednimo uns 3 anos kkkkkk. Tirando os Vingadores originais e o Homem Aranha, todos os her\\xf3is da Marvel tiveram intervalos muito grandes entre os seus filmes \\n\\nEx Guardi\\xf5es (3 anos), Homem Formiga (3 anos), Doutor Estranho (6 anos), Pantera Negra (4 anos)'	pt	[]
1461121073693409280	2021-11-17T23:56:24.000Z	b'RT @disneyplusth: \\u2b55\\U0001f4a5 \\u0e23\\u0e30\\u0e40\\u0e1a\\u0e34\\u0e14\\u0e04\\u0e27\\u0e32\\u0e21\\u0e21\\u0e31\\u0e19\\u0e2a\\u0e4c\\u0e01\\u0e31\\u0e1a\\u0e1e\\u0e25\\u0e31\\u0e07\\u0e25\\u0e31\\u0e1a\\u0e40\\u0e17\\u0e47\\u0e19\\u0e23\\u0e34\\u0e07\\u0e2a\\u0e4c \\n\\u0e17\\u0e31\\u0e49\\u0e07\\u0e42\\u0e0b\\u0e40\\u0e0a\\u0e35\\u0e22\\u0e25\\u0e15\\u0e48\\u0e32\\u0e07\\u0e22\\u0e37\\u0e19\\u0e22\\u0e31\\u0e19\\u0e04\\u0e27\\u0e32\\u0e21\\u0e2a\\u0e19\\u0e38\\u0e01! \\u0e2b\\u0e49\\u0e32\\u0e21\\u0e1e\\u0e25\\u0e32\\u0e14\\u0e01\\u0e31\\u0e1a\\u0e2e\\u0e35\\u0e42\\u0e23\\u0e48\\u0e2a\\u0e32\\u0e22\\u0e40\\u0e25\\u0e37\\u0e2d\\u0e14\\u0e40\\u0e2d\\u0e40\\u0e0a\\u0e35\\u0e22\\u0e04\\u0e19\\u0e41\\u0e23\\u0e01\\u0e02\\u0e2d\\u0e07\\u0e21\\u0e32\\u0e23\\u0e4c\\u0e40\\u0e27\\u0e25\\nMarve\\u2026'	th	[]
1461120940776034312	2021-11-17T23:55:53.000Z	b'Kinda miss that we didn\\u2019t get the OG rings in the #MCU #shangchi\\n https://t.co/uCtsrlRRYc'	en	['MCU', 'shangchi']
1461120774111207426	2021-11-17T23:55:13.000Z	b'RT @ShangChiBR: Ent\\xe3o o assunto \\xe9 cair?! #ShangChi https://t.co/F9KITi88e1'	pt	['ShangChi']
